Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,sz265,mv_ripping,mountain_bike_sh,4000,0,3.2556754023871783,enc_res_sz265_mv_ripping_mountain_bike_sh_4000
2018,t265,mv_ripping,mountain_bike_sh,1000,0,2.782053851195042,enc_res_t265_mv_ripping_mountain_bike_sh_1000
2018,t265,mv_ripping,mountain_bike_sh,2000,0,3.221365364346591,enc_res_t265_mv_ripping_mountain_bike_sh_2000
2018,t265,mv_ripping,mountain_bike_sh,4000,0,3.748064035522474,enc_res_t265_mv_ripping_mountain_bike_sh_4000
2018,uc265,mv_ripping,mountain_bike_sh,1000,0,1.4840820544844109,enc_res_uc265_mv_ripping_mountain_bike_sh_1000
2018,uc265,mv_ripping,mountain_bike_sh,2000,0,3.0620764156862066,enc_res_uc265_mv_ripping_mountain_bike_sh_2000
2018,uc265,mv_ripping,mountain_bike_sh,4000,0,3.5764199395259366,enc_res_uc265_mv_ripping_mountain_bike_sh_4000
2018,vp9,mv_ripping,mountain_bike_sh,1000,0,2.401689131012684,enc_res_vp9_mv_ripping_mountain_bike_sh_1000
2018,vp9,mv_ripping,mountain_bike_sh,2000,0,3.123502241188736,enc_res_vp9_mv_ripping_mountain_bike_sh_2000
2018,vp9,mv_ripping,mountain_bike_sh,4000,0,3.578876009535287,enc_res_vp9_mv_ripping_mountain_bike_sh_4000
2018,x264,mv_ripping,mountain_bike_sh,1000,0,0.1544775912700138,enc_res_x264_mv_ripping_mountain_bike_sh_1000
2018,x264,mv_ripping,mountain_bike_sh,2000,0,2.4959729018127543,enc_res_x264_mv_ripping_mountain_bike_sh_2000
2018,x264,mv_ripping,mountain_bike_sh,4000,0,3.4839437143104948,enc_res_x264_mv_ripping_mountain_bike_sh_4000
2018,x265,mv_ripping,mountain_bike_sh,1000,0,2.3563111319529995,enc_res_x265_mv_ripping_mountain_bike_sh_1000
2018,x265,mv_ripping,mountain_bike_sh,2000,0,2.994412242698216,enc_res_x265_mv_ripping_mountain_bike_sh_2000
2018,x265,mv_ripping,mountain_bike_sh,4000,0,3.484784327084112,enc_res_x265_mv_ripping_mountain_bike_sh_4000
2018,intel_svt_hevc,mv_universal,mountain_bike_sh,1000,0,1.476400472612688,enc_res_intel_svt_hevc_mv_universal_mountain_bike_sh_1000
