Reference,Distorted,Metric,Metric_val,Mask,Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,ssim,0.9376,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,ssim,0.9378,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,ssim,0.9378,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,vmaf,76.886,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,vmaf,76.886,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,vmaf,76.897,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,vmaf,76.897,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,niqe,11.265,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,niqe,11.265,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,niqe,9.5398,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,niqe,9.5398,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,psnr,41.576,False,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,psnr,45.097,True,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,ssim,0.9649,False,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,ssim,0.965,True,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,vmaf,94.755,False,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,vmaf,94.849,True,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40,niqe,10.999,True,ugc,svt_av1,mv_offline_2k,blue_hair,40,4878,5.5305848584583055,enc_res_svt_av1_mv_offline_2k_blue_hair_40
